CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 2033 Patches"
FILTER	""
CREATED		"2025-04-06T20:23:11"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2033
BEGIN_DATA
192	-	   92.73	   21.25	  162.27	
193	-	  255.00	   85.00	  139.09	
194	-	   69.55	  127.50	  115.91	
195	-	   69.55	   42.50	   23.18	
196	-	  139.09	    0.00	  162.27	
197	-	    0.00	   21.25	  139.09	
198	-	  145.71	  145.71	  145.71	
199	-	  255.00	  255.00	   92.73	
200	-	  115.91	   85.00	   92.73	
201	-	  182.14	  182.14	  182.14	
202	-	  185.45	    0.00	  162.27	
203	-	   92.73	   63.75	  255.00	
204	-	   92.73	  170.00	   46.36	
205	-	  162.27	  233.75	  115.91	
206	-	  255.00	  255.00	  231.82	
207	-	  208.64	  212.50	  115.91	
208	-	   23.18	  191.25	  231.82	
209	-	  208.64	  212.50	  208.64	
210	-	  139.09	  191.25	   69.55	
211	-	  115.91	    0.00	  162.27	
212	-	  208.64	   85.00	  162.27	
213	-	  205.96	  205.96	  251.73	
214	-	   23.18	   21.25	   92.73	
215	-	   23.18	   63.75	  185.45	
216	-	  162.27	  255.00	  162.27	
217	-	  185.45	   63.75	   69.55	
218	-	   23.18	  191.25	  139.09	
219	-	  139.09	  212.50	   23.18	
220	-	    0.00	  127.50	  139.09	
221	-	  185.45	   85.00	  115.91	
222	-	  231.82	    0.00	   69.55	
223	-	   23.18	  106.25	  231.82	
224	-	  162.27	   85.00	  231.82	
225	-	   23.18	   21.25	   46.36	
226	-	   46.36	  148.75	  115.91	
227	-	  208.64	    0.00	   23.18	
228	-	   46.36	  191.25	  185.45	
229	-	  255.00	    0.00	  185.45	
230	-	   69.55	  233.75	  115.91	
231	-	  206.43	  206.43	  206.43	
232	-	   57.54	   47.08	   47.08	
233	-	  185.45	  148.75	  185.45	
234	-	   69.55	  106.25	   69.55	
235	-	  231.82	  170.00	   46.36	
236	-	    0.00	  170.00	   69.55	
237	-	   69.55	  212.50	    0.00	
238	-	   69.55	  148.75	   69.55	
239	-	   46.36	  106.25	   69.55	
240	-	    0.00	  148.75	   23.18	
241	-	  255.00	  233.75	   46.36	
242	-	  255.00	  127.50	  162.27	
243	-	    0.00	  233.75	  255.00	
244	-	    0.00	  191.25	  231.82	
245	-	  107.88	   88.27	   88.27	
246	-	  208.64	   63.75	   69.55	
247	-	  139.09	   63.75	   92.73	
248	-	    0.00	  212.50	  162.27	
249	-	  185.45	  170.00	  231.82	
250	-	  162.27	  127.50	   23.18	
251	-	   23.18	  255.00	  255.00	
252	-	  162.27	  170.00	  208.64	
253	-	  100.04	  100.04	  122.27	
254	-	  231.82	   85.00	  255.00	
255	-	  115.91	    0.00	   46.36	
256	-	  162.27	   63.75	   23.18	
257	-	   23.18	  127.50	  162.27	
258	-	    0.00	   85.00	  231.82	
259	-	   92.73	  148.75	  231.82	
260	-	   23.18	    0.00	   23.18	
261	-	   46.36	   21.25	  162.27	
262	-	    0.00	  170.00	  185.45	
263	-	   46.36	  170.00	  231.82	
264	-	  139.09	   21.25	  139.09	
265	-	  242.86	  242.86	  242.86	
266	-	    5.88	    5.88	    7.19	
267	-	   46.36	  170.00	  255.00	
268	-	  139.09	  233.75	    0.00	
269	-	   46.36	   42.50	  231.82	
270	-	  185.45	   21.25	   69.55	
271	-	  115.91	  212.50	  208.64	
272	-	   69.55	  148.75	  139.09	
273	-	  208.64	  170.00	   46.36	
274	-	  115.91	  255.00	  255.00	
275	-	  255.00	   21.25	  255.00	
276	-	  255.00	   42.50	  231.82	
277	-	  255.00	   42.50	   23.18	
278	-	  208.64	  233.75	  162.27	
279	-	  231.82	  255.00	  162.27	
280	-	    0.00	  255.00	  255.00	
281	-	  162.27	  255.00	  255.00	
282	-	  231.82	  170.00	   92.73	
283	-	    0.00	  212.50	   23.18	
284	-	  255.00	    0.00	   23.18	
285	-	   92.73	  191.25	    0.00	
286	-	   92.73	  255.00	   46.36	
287	-	  255.00	   85.00	   46.36	
288	-	  115.91	   21.25	   69.55	
289	-	  115.91	  170.00	   69.55	
290	-	   69.55	    0.00	   23.18	
291	-	  255.00	  106.25	  255.00	
292	-	  185.45	  233.75	  162.27	
293	-	  208.64	  255.00	   69.55	
294	-	   46.36	  212.50	   92.73	
295	-	    0.00	  170.00	  255.00	
296	-	   69.55	   21.25	  139.09	
297	-	  231.82	   42.50	   46.36	
298	-	  115.91	   85.00	  231.82	
299	-	   92.73	   85.00	  162.27	
300	-	  115.91	  255.00	  231.82	
301	-	   46.36	   21.25	  231.82	
302	-	  115.91	   42.50	   92.73	
303	-	    0.00	   21.25	  255.00	
304	-	  231.82	  233.75	  162.27	
305	-	  115.91	  106.25	  185.45	
306	-	  231.82	   42.50	  231.82	
307	-	  162.27	  148.75	  139.09	
308	-	  231.82	  106.25	   69.55	
309	-	  139.09	   42.50	   69.55	
310	-	   47.08	   47.08	   57.54	
311	-	   46.36	   21.25	  255.00	
312	-	  231.82	  191.25	   69.55	
313	-	  139.09	  148.75	   92.73	
314	-	    0.00	  233.75	  115.91	
315	-	  255.00	  127.50	  231.82	
316	-	  231.82	  191.25	  115.91	
317	-	   46.36	   85.00	  162.27	
318	-	   23.18	   42.50	  231.82	
319	-	  139.09	    0.00	   23.18	
320	-	  255.00	   21.25	  115.91	
321	-	   69.55	   42.50	  139.09	
322	-	  208.64	  191.25	  208.64	
323	-	   46.36	  255.00	   69.55	
324	-	  255.00	    0.00	   46.36	
325	-	   46.36	  191.25	   46.36	
326	-	    0.00	   42.50	   23.18	
327	-	  139.09	  148.75	  208.64	
328	-	  139.09	  255.00	  208.64	
329	-	  255.00	   63.75	  231.82	
330	-	  139.09	  127.50	  162.27	
331	-	   46.36	  191.25	  208.64	
332	-	   69.55	  170.00	   46.36	
333	-	   86.31	   70.62	   70.62	
334	-	   82.38	  100.69	   82.38	
335	-	   92.73	  106.25	   46.36	
336	-	  208.64	   42.50	   92.73	
337	-	   92.73	  212.50	  115.91	
338	-	    0.00	   85.00	  208.64	
339	-	   28.77	   23.54	   23.54	
340	-	  231.82	  212.50	  139.09	
341	-	   69.55	  191.25	    0.00	
342	-	   69.55	  255.00	  185.45	
343	-	  115.91	  233.75	   46.36	
344	-	  123.58	  151.04	  123.58	
345	-	   23.18	  148.75	   46.36	
346	-	  139.09	  127.50	   46.36	
347	-	  185.45	  212.50	   69.55	
348	-	  115.91	  255.00	  208.64	
349	-	  231.82	  148.75	  255.00	
350	-	   46.36	   42.50	   23.18	
351	-	  185.45	  191.25	   92.73	
352	-	   46.36	  212.50	  255.00	
353	-	   43.15	   35.31	   35.31	
354	-	   46.36	  148.75	  208.64	
