CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Tue Apr  8 19:51:28 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "2388"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 2420
BEGIN_DATA
307 106.1783 132.3698 188.0211 24.11435 24.07624 51.36457
308 228.4246 88.38185 0.000000 36.29672 24.37306 3.652667
309 83.64053 190.6471 195.7778 32.79794 43.51998 59.11992
310 191.8697 103.4238 86.03858 28.99815 22.43242 12.38929
311 121.6605 255.0000 101.6740 46.66251 76.81641 25.59455
312 255.0000 48.33621 73.45894 44.09611 24.65438 9.617713
313 149.0470 189.1623 64.58035 32.26410 43.80277 12.50522
314 186.3902 0.000000 101.0392 23.47005 12.31641 14.20348
315 79.30369 71.01367 255.0000 24.32033 14.26912 96.02365
316 211.2265 255.0000 24.61066 63.23612 85.61500 14.94443
317 76.66314 223.9293 58.05151 31.13315 55.58886 13.92117
318 194.6279 79.72230 231.0418 40.29378 23.79288 78.22922
319 217.1504 219.6320 105.2360 57.15553 67.12529 24.10460
320 255.0000 46.32199 104.7249 45.32052 25.01556 16.46316
321 161.4501 111.2195 130.7527 25.33321 21.46697 24.84679
322 0.000000 204.3752 47.35610 22.98221 44.13414 10.86909
323 224.8278 168.7537 255.0000 63.56263 51.97084 101.2344
324 190.6504 0.000000 255.0000 40.05651 19.07058 96.12167
325 255.0000 174.4394 144.7213 61.93918 54.20337 34.47720
326 0.000000 104.1667 0.000000 5.917839 10.83430 2.639294
327 49.86451 221.5832 131.2898 32.12399 54.79617 31.11170
328 176.6503 0.000000 180.2208 27.05138 13.48616 44.91642
329 217.6576 108.1579 199.0757 45.06605 30.44323 57.91719
330 255.0000 129.4152 159.4146 55.88850 40.19555 38.34504
331 156.2195 33.39480 36.60430 15.49003 9.248908 3.530328
332 255.0000 211.1975 181.1365 73.21365 71.57741 54.18515
333 25.07779 180.9182 255.0000 35.61341 41.03535 100.5955
334 255.0000 255.0000 28.73153 77.45168 92.93919 15.85434
335 0.000000 103.4023 122.9015 9.375459 12.09556 21.22588
336 42.93633 104.6731 143.0406 11.86412 13.40737 28.57346
337 29.10052 255.0000 208.1345 48.19842 76.57541 72.28439
