CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Wed Apr  9 07:56:24 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "3158"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 3190
BEGIN_DATA
188 118.9669 137.0145 166.9120 24.28448 25.35543 40.63755
189 208.8556 74.18852 0.000000 29.42974 19.27521 3.030305
190 255.0000 125.2526 44.71595 49.58630 36.82066 7.785736
191 154.0800 0.000000 145.2403 19.28763 9.841744 28.36822
192 100.3174 197.6833 49.83248 26.72673 43.76608 10.86974
193 53.44491 0.000000 199.6255 12.75559 5.872318 55.20825
194 255.0000 201.4720 219.2895 75.31596 68.70154 76.72048
195 144.2347 0.000000 255.0000 30.29905 14.03960 95.66445
196 0.000000 212.9913 255.0000 42.42713 55.25277 102.9810
197 0.000000 255.0000 116.8623 39.57626 73.06874 29.50409
198 121.2653 255.0000 46.03622 44.73784 76.04029 15.74479
199 90.78696 108.8485 120.4992 14.03580 15.34144 20.83651
200 67.94508 209.5619 0.000000 26.06741 47.63061 8.680812
201 100.6107 0.000000 188.2685 15.28627 7.323219 48.73428
202 121.1206 179.2766 127.8140 28.68421 38.59757 26.95993
203 51.24380 255.0000 67.27884 38.78046 72.90822 18.19280
204 255.0000 40.86244 41.43058 43.01429 23.77417 5.299975
205 0.000000 181.5413 195.3657 27.26284 37.85052 58.07424
206 106.1507 193.5313 220.5473 38.76195 47.17664 75.35528
207 255.0000 218.1101 159.6430 72.93253 74.24731 44.12369
208 0.000000 94.47681 24.39570 5.172446 9.076013 3.216455
209 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
210 132.8952 143.6169 0.000000 20.37734 25.56055 4.720333
211 255.0000 180.5091 207.5582 69.31004 59.05693 67.42310
212 0.000000 212.1369 72.23617 25.50957 48.14734 14.92147
213 47.67510 42.10687 255.0000 20.88631 10.40854 95.45931
214 59.04815 88.44567 135.8032 10.66602 10.65821 25.34941
215 61.12801 255.0000 206.4339 49.40081 77.21922 71.26386
216 137.7954 149.4411 45.44640 22.53116 27.94127 7.569859
217 0.000000 148.9273 57.51836 12.37351 22.55349 8.462283
218 255.0000 91.73132 182.2911 53.98599 32.93879 48.35776
219 255.0000 183.4863 45.41876 59.17214 55.96819 11.04727
220 255.0000 45.94174 202.7410 53.43734 28.23818 59.28805
221 39.97522 0.000000 59.10017 2.649592 1.759833 5.170853
222 191.4325 255.0000 114.3689 60.81340 84.03522 29.75246
223 231.4944 230.8950 0.000000 62.04908 74.42319 11.95747
224 0.000000 113.8084 171.2847 14.24098 15.79226 41.45360
225 31.19262 154.5983 0.000000 13.10419 24.36614 4.872841
226 86.91965 117.0890 204.8219 22.08141 19.97265 60.63809
227 148.0515 255.0000 255.0000 66.37693 85.18695 107.4978
228 27.67726 111.9992 0.000000 7.202036 12.71157 2.934025
229 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
230 22.17476 255.0000 176.1153 44.50674 75.07895 53.74334
231 212.0134 255.0000 34.34890 63.58149 85.77905 15.59374
232 255.0000 127.3150 230.6799 63.62073 42.85247 80.41454
233 163.2743 207.1513 0.000000 38.13761 52.98847 9.079319
234 202.3944 178.2394 68.22861 42.07050 45.51918 12.88251
235 79.80531 168.7736 129.2386 22.20358 32.26289 26.56791
236 125.1087 95.74446 255.0000 31.37856 20.70828 96.89485
237 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
238 100.3200 255.0000 255.0000 59.51474 81.64878 107.1763
239 233.2513 135.0143 0.000000 42.93161 35.35379 5.422820
240 0.000000 144.1498 111.7408 13.77818 21.94321 19.47545
241 121.8922 255.0000 185.2756 53.03540 79.36891 58.99207
242 162.0174 200.6435 221.3538 49.32150 54.98342 76.86387
243 88.70478 22.50033 255.0000 23.21562 10.82313 95.41665
244 47.97111 52.34509 0.000000 3.436577 4.083427 1.466861
245 172.0160 201.5715 202.8539 49.31470 55.56558 64.84994
246 176.9951 0.000000 106.2550 21.53908 11.29057 15.47707
247 188.6256 63.05499 0.000000 23.44877 15.19099 2.556939
