CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Mon Aug 11 12:25:15 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
TOTAL_INK_LIMIT "300.0"
WHITE_COLOR_PATCHES "4"
BLACK_COLOR_PATCHES "4"
OFPS_PATCHES "672"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 680
BEGIN_DATA
358 81.15081 97.73767 184.5507 17.29579 14.78657 48.01106
344 104.5038 199.8142 255.0000 44.98817 51.89942 102.1989
404 47.52582 116.5347 142.3997 13.29329 16.04364 28.75559
290 166.2657 115.1300 60.96925 23.54256 21.55692 8.148585
377 255.0000 224.6025 204.1629 79.19242 79.47186 68.70357
543 85.02363 162.0309 231.0930 31.80260 34.22164 80.72704
95 187.2519 142.9503 108.9870 33.80085 32.01829 19.58398
91 255.0000 159.6375 0.000000 54.21414 46.81665 7.041256
292 205.4943 229.6123 80.28659 55.41539 70.31051 19.08392
588 84.12421 194.5947 230.4011 38.05977 47.00809 82.35900
488 238.0109 17.34608 235.0355 50.96879 25.34870 80.93017
6 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
323 118.6068 45.98216 164.7037 16.14298 9.467656 36.94931
542 96.50860 151.7949 26.83994 17.10705 25.73224 5.942983
428 235.2660 186.3248 55.22629 53.14820 53.70980 12.03559
495 35.79542 42.84226 87.95834 4.305199 3.763612 10.49343
310 255.0000 33.81611 134.2595 46.66971 24.88542 25.63496
570 45.44599 220.5036 183.8237 36.10901 55.91461 54.56291
516 232.4940 172.1561 141.2837 53.52360 49.24927 32.61198
576 96.32347 174.7020 51.71897 21.53765 33.95963 9.465036
177 80.45805 231.2373 255.0000 50.54314 66.56443 104.7371
442 69.95547 97.80188 224.9789 21.25658 16.27893 73.41103
635 227.7870 145.5997 193.9481 52.36136 41.38082 56.60345
427 129.7088 69.75601 189.9146 21.41653 13.65934 50.56283
143 255.0000 0.000000 206.5327 52.92454 26.48922 61.34843
312 202.5280 113.9654 0.000000 31.21054 25.41272 4.121231
97 151.2370 255.0000 179.2411 57.16469 81.56957 55.95529
316 71.25181 87.18243 255.0000 24.85117 16.26036 96.38006
81 45.06900 0.000000 255.0000 19.94555 8.701300 95.17931
199 100.8526 220.7193 173.0533 39.29697 57.76614 49.11916
